5.688952021939048365e+00,1.832722295216834027e+04,2.302185102267394086e+03,3.620086373409580574e+03
2.764202885550892219e+00,2.368761667402440096e+01,9.078754520129995953e+00,4.683285939285243060e+00
1.271196855008389548e+01,1.371206224674598673e+01,1.280821430609650413e+01,2.948026889019490504e-01
6.969778343200417225e+00,5.373296149095003216e+01,2.165787717505630994e+01,1.138405660746598080e+01
1.050818753524046967e+00,2.044852096118830787e+00,1.296713730655790098e+00,2.200957143194596788e-01
1.486244077398840346e+00,9.553029846330371555e+00,4.786584336292103892e+00,1.732674573469959567e+00
2.491522769970247282e+02,1.945466458371623503e+03,1.036438475377105306e+03,3.293022977839156624e+02
3.480919664543280057e+00,5.001974994939136998e+00,4.332153162588659789e+00,3.824338085130253306e-01
1.108930614597496644e+00,1.837301463557537762e+00,1.358287870632618688e+00,1.424860743864511115e-01
2.107418183777113185e+01,2.170393586844362588e+01,2.142451700419714200e+01,1.420114947310038289e-01
